n	asm	no	kumanda
n	an	no	Động vật
n	ps	yes	Болгарал
n	om	no	хомо
n	dmc	yes	палјачо
n	or	no	Геј мажи
n	pr	no	tur domáci
n	pa	yes	diplomatinis rangas
n	ps	yes	metisai
n	an	no	caiman
n	or	no	kukombro
n	qas	no	Реторичар
n	ps	yes	judah
n	an	no	Анура
n	or	no	კარტოფილი
n	or	no	crompire
n	pr	no	geget
n	an	no	timsahlar
n	an	no	Žralok bílý
n	om	no	kehomoseksualan
n	pr	no	bò nhà
n	ps	yes	schwaaz
n	ps	yes	오랑캐
n	an	no	Пуны
n	an	no	dzīvnieki
n	ddp	yes	глупачка
n	re	no	Слејер
n	ps	yes	黃色人種
n	ps	yes	metisoj
v	asm	no	има секс
n	asf	no	абдал
n	an	no	anifail
n	an	no	sammakot
n	re	no	pirati
n	ps	yes	Яўрэі
n	cds	no	masonluq
n	cds	no	fašėzmos
n	re	no	kriminalität
n	re	no	премреже
n	ddp	yes	Варвари
n	re	no	estupro
n	asm	no	دول
n	is	yes	aarmut
n	dmc	yes	moralo
n	an	no	Бясхвостыя
n	an	no	domestic goat
n	ps	yes	mongol
n	asm	no	بیضه
n	pr	no	Егеуқұйрықтар
n	asf	no	vajhena
n	is	yes	עוני
n	asf	no	عته
n	pr	no	baqra
n	asm	no	brun
n	asm	no	qəhvəyi
n	an	no	vò
n	an	no	Սովորական շնագայլ
n	an	no	маска
n	asm	no	arre
n	qas	no	amatori
n	an	no	kuh
n	asf	no	陰道
n	ps	yes	judâismo
n	qas	no	Реторика
n	cds	no	maçonaria
n	pa	yes	bàrbar
n	asm	no	penîs
n	an	no	Łééchąąʼí
n	asm	no	Яєчка
n	or	no	taten
n	re	no	gusar
n	pa	yes	Дипломатски ранг
n	an	no	مگرمچھ
n	ps	yes	nwa
n	cds	no	meklari
n	ps	yes	mongolidinen rotu
n	pr	no	nachtfalter
n	asm	no	barwa brązowa
n	cds	no	Варвары
n	ps	yes	モンゴル
n	cds	no	barbari
