SL,SL2647,paragrafar,0
SL,SL289,skop,7
SL,SL670,srednji sloj,41
SL,SL381,stupe,0
SL,SL92,kasne,41
SL,SL2815,glavat,1
SL,SL152,metazojev,0
SL,SL144,jegulje,35
SL,SL3014,birič,3
SL,SL1034,deželan,0
SL,SL1253,abotnež,0
SL,SL508,zlo,1216
SL,SL2196,dojenček,182
SL,SL203,bukselj,13
SL,SL242,skopost,0
SL,SL3110,zlorabljal,21
SL,SL775,zaporniki,65
SL,SL1862,hiša slikar,0
SL,SL492,tattletale,0
SL,SL474,hudodelec,1
SL,SL1272,dimwit,1
SL,SL22,zlorabe,583
SL,SL1082,odpadek,13
SL,SL781,arestant,11
SL,SL858,grifter,4
SL,SL818,debil,1279
SL,SL1608,mason,23
SL,SL1402,kmet,378
SL,SL2018,len,330
SL,SL3156,mučili,78
SL,SL639,krava,206
SL,SL2249,yokel,0
SL,SL1011,poove,1
SL,SL818,debil,1279
SL,SL908,mare gnezdo,0
SL,SL2914,lovilca,0
SL,SL713,potepin,0
SL,SL3277,neotesan,26
SL,SL92,kasne,41
SL,SL1047,strašljivec,0
SL,SL183,bedastoča,2
SL,SL852,slepar,16
SL,SL919,cura,67
SL,SL482,izobčenec,2
SL,SL1210,cucurbita maxima,0
SL,SL2789,banalen,10
SL,SL447,otroški,284
SL,SL309,banavz,0
SL,SL2950,fašističen,12
SL,SL312,barbari,122
SL,SL2661,razploditi se,0
SL,SL1553,trik,153
SL,SL1635,jalovost,1
SL,SL2244,nesramen,205
SL,SL999,kunec,1
SL,SL656,lastnik podjetja,34
SL,SL1610,prosto zidar,0
SL,SL612,šušmar,1
SL,SL3220,venality,0
SL,SL122,škart,52
SL,SL2596,defravdirati,0
SL,SL743,slabo,5075
SL,SL2176,vešče,9
SL,SL95,zaspane,2
SL,SL1577,riba,335
SL,SL2850,strahopeten,5
SL,SL550,baraba,233
SL,SL1587,škripci,2
SL,SL1967,ignoranca,126
SL,SL2212,Škif,4
SL,SL2083,srd,33
SL,SL374,mehka na dotik,0
SL,SL2036,pijavka,9
SL,SL1134,credulousness,0
SL,SL162,epifaunal,0
SL,SL2599,provokator,218
SL,SL390,prostituirati,1
SL,SL2745,agresivno,370
SL,SL2585,preobjedati,0
SL,SL147,makrofavne,0
SL,SL916,lulek,6
SL,SL980,fizična privlačnost,2
SL,SL1343,zadaj,710
SL,SL3076,dweeb,0
SL,SL1719,ljubiti,53
SL,SL1582,fishwife,0
SL,SL299,rokovnjač,0
SL,SL741,kajmanski otoki,0
SL,SL1507,porabijo za vse,3
SL,SL1904,malikovalstvo,0
SL,SL2884,hudoben,35
SL,SL2709,mrmrač,0
SL,SL3178,hetaera,0
SL,SL3061,zamorski,0
SL,SL1918,vragec,2
SL,SL2566,mooch,1
SL,SL332,pleader,0
SL,SL470,lump,30
SL,SL1600,buffoonery,0
SL,SL188,butec,89
SL,SL782,karavana,85
SL,SL1362,pesjak,7
SL,SL951,self-zadovoljstvo,0
SL,SL2923,fawner,0
SL,SL702,vol,262
SL,SL747,slinast,1
SL,SL124,mučitelj,2
SL,SL2252,necrotrophic,0
SL,SL575,bu-bu,0
SL,SL1823,judaízem,8
SL,SL2253,parazitizma,0
SL,SL475,banditti,0
SL,SL1545,kmetica,58
SL,SL2800,piška,41
SL,SL1197,pička,797
SL,SL2961,brezrepi krkoni,0
SL,SL461,tolpe,181
SL,SL259,nerazvitost,5
SL,SL1125,spogledljivka,0
SL,SL297,tolovaj,4
SL,SL2082,jeza,497
SL,SL2218,cosa nostra,13
SL,SL1108,lokavost,0
SL,SL194,budalo,195
SL,SL3113,conventicles,0
SL,SL662,zanka,43
SL,SL2420,pol vrček,0
SL,SL1017,homoseksuálca,5
SL,SL748,nevreden,43
SL,SL415,prepričali,351
SL,SL411,lovača,5
SL,SL2051,backtalk,0
SL,SL1489,neljubezniv,0
SL,SL130,zealotry,0
SL,SL1020,homophile,0
SL,SL2656,know-it-vse,0
SL,SL733,kišta,5
SL,SL800,casino,49
SL,SL598,licemer,16
SL,SL173,posilil,58
SL,SL2119,podjeten,11
SL,SL315,grobijan,2
SL,SL2446,blackamoor,0
SL,SL1795,vlačugarstvo,0
SL,SL2095,nasajen,1
SL,SL87,sodomized,17
SL,SL97,privrženec,8
SL,SL1550,fašist,863
SL,SL2106,kujav,0
SL,SL1640,gangster,87
SL,SL1400,vagabund,1
SL,SL526,hulja,4
SL,SL697,nečimrnosti,11
SL,SL2440,darky,0
SL,SL1637,gadabout,0
SL,SL1241,doxy,6
SL,SL1042,baba,1727
SL,SL1191,fant,1126
SL,SL414,neresnica,109
SL,SL2551,volk,272
SL,SL422,topsy-turvydom,0
SL,SL9,brezvoljnost,2
SL,SL1265,štor,9
