n	asm	no	nookie
n	qas	no	conformism
n	cds	no	estrem dritt ġwejnħa
n	or	no	blockhead
n	asm	no	favetta
n	qas	no	skart solidu
n	cds	no	reprobate
n	re	no	libelous
n	asf	no	codswallop
n	qas	no	cadger
n	asf	no	twat
n	ddp	yes	ras żobbi
n	an	no	sallur
n	an	no	bos taurus
n	an	no	caiman
n	ddp	yes	charlatan
n	an	no	ħut skorpjun
n	cds	no	fundamentaliżmu reliġjuż
n	asf	no	dunce
n	an	no	tomfool
n	ddp	yes	pillock
a	is	yes	imdejjaq
n	dmc	yes	chiseler
n	cds	no	moralism
n	or	no	lunkhead
n	om	no	sesswalità maskili
n	qas	no	komuni persuna
n	re	no	terroriżmu
n	cds	no	advocacy
n	svp	no	dilly-dallier
n	cds	no	instructor
n	re	no	abbuż
n	asf	no	pubika tax-xagħar
n	or	no	kkultivati kaboċċi
n	cds	no	masons ħieles u aċċettati
n	dmc	yes	slackers
n	ps	yes	changelings
n	dmc	yes	l-moralità
n	om	no	cross dresser
n	dmc	yes	kodiċi morali
n	is	yes	villain
n	cds	no	devilment
n	cds	no	mużika grunge
n	an	no	subien kera
n	svp	no	ebda kont
n	qas	no	barbarians
n	cds	no	sportivi dar
n	re	no	pirati
n	svp	no	effetti tax-xenqa
n	asm	no	doofus
n	cds	no	chiseler
n	an	no	jittieklu bebbuxu
n	svp	no	tightwad
n	pr	no	courtesan
n	ps	yes	mongol
n	re	no	sesswalment attakk
n	ddp	yes	frodi saħħa
n	pr	no	whoredom
n	ddp	yes	motherfucker
n	asm	no	maroon
n	an	no	caprinae
n	cds	no	soċjetajiet tribali
n	pr	no	rattus norvegicus
n	cds	no	camarilla
n	cds	no	freemasons
n	ddf	yes	b'diżabilità mobilità
n	pr	no	baqra
n	an	no	ħmir
n	dmc	yes	deceiver
n	an	no	hemipteron
n	or	no	poof
n	dmc	yes	hobo
n	an	no	hemipteran
n	cds	no	awto-qima
n	cds	no	dandy
n	qas	no	bungler
n	om	no	pederasty
n	qas	no	tagalong
n	cds	no	faċilità tat-twaletta
n	ddp	yes	simpleton
n	ddp	yes	microcephalic
n	ddp	yes	jaqgħu guy
n	asm	no	flouter
n	cds	no	brigand
n	dmc	yes	sneak ħalliel
n	re	no	delitt biss
n	cds	no	outlawry
n	qas	no	xogħol tad-dar
n	cds	no	barbari
n	cds	no	conventicles
n	cds	no	tojlit
n	cds	no	sub-mexxejja tal-gruppi
n	qas	no	manutenzjoni
n	an	no	baqar
n	ddp	yes	rumormonger
n	re	no	tortura
n	an	no	crocodylian
n	cds	no	idjota
n	or	no	knucklehead
n	or	no	patata
